,White,Black,Mexican,Other,Hispanic
99,70.359344,5.376878,15.583322,3.3223886,5.3580766
100,60.428745,5.0907316,18.261223,5.5639906,10.655319
101,64.76939,11.404242,11.882269,5.4489336,6.4951715
102,69.69704,5.694289,16.823002,3.259553,4.5261188
103,28.553257,5.0254507,54.49882,4.987425,6.9350495
104,8.96904,4.7587714,10.181493,16.444048,59.64665
105,25.457787,50.467724,12.348882,7.0961595,4.629453
106,10.7965555,4.325689,65.66598,8.364432,10.847346
107,5.819823,7.5689425,9.486793,43.58536,33.53908
108,11.552531,52.395744,15.908952,13.857776,6.284992
109,29.884666,38.124886,12.450969,9.380172,10.159302
110,48.21631,15.648323,15.380984,11.281949,9.472431
111,3.735282,17.364405,6.6207943,55.28238,16.997137
112,5.762303,4.001208,8.391506,14.440307,67.40468
113,61.50388,10.196908,12.704065,6.3623962,9.232746
114,10.721859,47.351734,15.884371,19.070227,6.9718084
115,11.039017,40.592678,14.665537,24.066576,9.636196
116,70.868645,6.436053,14.682319,3.4722288,4.540757
117,27.290472,4.2103415,54.25667,5.423941,8.818577
118,13.537067,5.0116215,64.53794,8.551688,8.361686
119,6.3375807,10.57739,18.926603,40.368702,23.78973
120,57.84701,5.4200554,27.29437,4.0364556,5.4020977
121,10.947649,5.682913,66.0279,7.882661,9.458867
122,62.56336,5.2048993,20.932566,4.835688,6.463493
123,6.252242,68.53252,6.989977,11.912065,6.3132033
124,14.126739,17.363232,40.450375,13.708878,14.350772
125,13.6977005,4.2224073,67.04416,6.5210266,8.514701
126,4.005641,8.38661,8.292805,63.201397,16.113544
127,14.189037,24.19809,11.417948,28.420141,21.774786
128,12.587428,7.104051,64.14849,8.466707,7.6933255
129,11.942089,4.276152,69.345764,6.417966,8.01803
130,31.107414,5.213793,52.077164,5.220242,6.3813934
131,4.098418,16.612532,7.726355,59.289368,12.273322
132,10.204365,72.54275,6.0995445,7.0549793,4.098369
133,69.109955,5.2897215,14.280404,4.0817933,7.2381153
134,71.926506,6.4983635,13.914835,3.2958844,4.3644114
135,65.61139,8.490986,13.036072,5.5742154,7.2873363
136,57.756294,6.761962,17.285229,6.450048,11.7464695
137,57.073074,17.057365,14.774239,5.3529286,5.7423863
138,2.9673045,6.963138,5.713465,63.303535,21.052557
139,29.090544,20.720736,18.349789,16.748795,15.090143
140,10.1665,4.5701585,59.973484,10.661168,14.628691
141,3.6997504,12.972334,6.83447,63.321423,13.172025
142,62.41457,5.976057,23.482832,3.5555892,4.570952
143,70.30213,6.0120654,15.939863,3.320719,4.425222
144,12.333977,4.148091,61.562336,10.0801,11.875493
145,46.08658,9.131763,26.85619,7.380458,10.545013
146,30.694366,38.203762,13.0814495,11.60806,6.412364
147,48.968914,6.40181,32.809727,4.7045836,7.1149654
148,12.118958,3.513307,15.648164,13.051039,55.668533
149,16.632519,3.6055484,42.59443,10.27089,26.89661
150,3.027978,9.461882,5.0785465,61.317135,21.114458
151,4.153478,4.169856,6.502495,20.626741,64.54743
152,24.659754,7.7997537,30.250444,14.866811,22.423233
153,2.9456682,6.267822,6.1031604,60.45456,24.228794
154,12.230523,18.264896,11.770119,34.29795,23.436512
155,64.45878,12.132128,15.396646,3.606081,4.4063706
156,70.53001,5.8817163,12.863052,4.5148325,6.2103806
157,7.410483,56.51105,8.056795,20.623785,7.3978825
158,10.291245,54.216003,10.054535,15.087363,10.350855
159,3.553139,4.7290726,8.417093,45.357834,37.942856
160,70.75677,5.4364114,14.125612,3.8501818,5.831024
161,66.494576,6.6499667,13.421488,5.071717,8.36226
162,15.098932,14.629719,36.91022,14.198938,19.162193
163,7.4526243,6.1627293,29.385767,33.6206,23.378275
164,15.430421,11.6001425,31.956942,27.06203,13.950469
165,30.783405,10.4300585,45.92014,6.0277767,6.8386183
166,13.481837,5.2335753,15.548183,15.480111,50.256287
167,18.60669,7.2308145,30.227015,22.651619,21.283869
168,5.011538,11.312401,6.9234505,61.269463,15.483146
169,8.55845,22.022373,10.561761,27.600632,31.256794
170,2.8920817,8.553098,5.4987,64.599106,18.457008
171,4.8315144,3.706355,7.2500916,16.735783,67.47626
172,68.07361,8.284714,12.993505,5.1366234,5.5115557
173,28.586235,6.6700416,53.602608,4.6715593,6.4695573
174,2.9993205,7.9124784,5.314071,61.42962,22.344511
175,18.033031,30.437574,25.268396,14.901638,11.359356
176,5.6272435,67.2037,6.2105904,14.367445,6.5910273
177,25.518448,10.517338,22.457418,16.93125,24.575554
178,44.009666,18.902538,19.604954,8.620924,8.861922
179,30.470291,5.7832727,32.289276,10.435447,21.021717
180,37.31328,10.881483,39.476032,6.4892397,5.839967
181,7.7382803,75.270004,5.7917666,7.5245986,3.675349
182,7.3550277,11.990499,19.700424,45.067383,15.886667
183,3.9819431,9.3299265,7.794813,64.441696,14.451615
184,6.4439244,4.8135257,7.7033253,21.025936,60.013287
185,13.240316,5.148166,31.710062,12.037889,37.86357
186,42.634624,5.5255685,23.359589,8.19156,20.288654
187,6.8344975,73.9626,4.3360224,10.055152,4.8117237
188,17.829844,3.6049175,60.50253,6.5111966,11.551522
189,3.3236046,8.256714,8.585204,63.314907,16.51957
190,20.807802,5.361646,61.551754,5.6297383,6.649062
191,68.06709,5.606455,13.509692,4.7506223,8.066139
192,9.074772,69.51512,8.604229,8.632268,4.1736126
193,15.296562,4.0049877,23.163235,15.387097,42.148117
194,24.94991,10.450772,28.946552,13.841273,21.81149
195,11.784048,50.92262,9.310513,15.195663,12.787153
196,33.76232,13.894733,18.052275,14.292794,19.99787
197,12.950579,6.0435677,59.43683,10.245894,11.32313
198,36.93833,10.32447,27.609688,12.585819,12.541691
199,63.686977,5.4899716,22.206709,3.6841252,4.932217
200,12.0321045,4.901696,68.9796,6.7474365,7.339169
201,7.9033403,6.5631175,10.244385,25.732473,49.556686
202,3.898359,16.96631,8.611855,58.132755,12.390716
203,5.4247265,69.64866,4.729767,14.043069,6.1537833
204,3.295884,5.042404,6.609498,43.6694,41.382824
205,10.475161,6.0228934,63.074146,10.735542,9.692259
206,6.3810306,63.186264,4.786432,17.357258,8.289015
207,11.836215,7.9062796,58.433716,10.727073,11.096717
208,7.544193,13.00582,25.906214,37.781246,15.762531
