,Divorced,Married,Parther,Separated,Never,Widowed
142,0.7395524,1.7780557,5.797526,9.126661,80.515945,2.042253
143,2.9864213,76.489334,1.7501526,13.123153,2.1559396,3.4950132
144,2.4047496,80.365585,1.5932014,11.9487295,1.7992603,1.8884718
145,3.23245,9.291555,5.1215296,62.88783,17.251871,2.2147617
146,0.65538675,2.0295646,5.276478,9.250558,79.72341,3.064607
147,0.8284708,1.9176133,6.294448,9.762881,79.20145,1.995137
148,3.9989147,4.2268896,2.047093,6.6198535,4.2520576,78.85519
149,0.6444727,1.8821083,5.1377516,9.186844,80.77315,2.3756688
150,2.0027893,79.1081,2.5949955,12.716044,2.3915913,1.1864758
151,0.83500946,1.6510122,6.134642,9.462832,79.32704,2.5894659
152,2.5667994,82.276955,1.9524081,9.962602,1.664903,1.5763355
153,2.8390055,1.79281,84.7361,2.851116,6.694527,1.086441
154,2.4554331,1.3769042,1.5433661,2.5562773,2.9528558,89.115166
155,1.9040577,71.70594,2.6364448,17.687475,3.7050743,2.36101
156,2.411219,81.742584,1.8931938,10.55905,1.7543664,1.639591
157,3.851811,45.860474,8.437896,30.339285,8.550565,2.9599695
158,0.7091174,1.8035856,6.318617,9.212837,79.70863,2.2472138
159,2.5206034,81.51018,1.7158283,10.858238,1.6848915,1.7102605
160,3.018704,81.06159,2.6957862,9.370258,1.8730888,1.9805659
161,2.8061812,2.215776,84.56054,2.6341553,6.3921957,1.3911463
162,1.8898524,43.498413,3.5942137,39.121445,8.793224,3.1028526
163,2.4673502,81.87813,1.7970172,10.786156,1.6613394,1.4100081
164,2.2838206,12.363585,3.5885687,67.53179,11.329031,2.9032133
165,3.8892481,6.325642,15.320802,27.891844,41.994457,4.577997
166,0.7402855,1.7081318,4.8325872,9.239117,81.30184,2.178041
167,2.5977058,69.9496,2.0890684,20.923834,2.7749646,1.6648167
168,5.8893943,75.522224,2.528968,11.313413,1.8214395,2.924566
169,90.12716,2.1100278,2.7799084,2.098203,0.75272256,2.1319807
170,4.0619273,11.415701,7.412532,55.87851,17.706371,3.5249655
171,5.1782975,1.9708853,83.51777,2.8608596,5.236684,1.2354952
172,2.1625876,81.82863,2.3919199,9.998524,2.0331342,1.5852038
173,1.9458466,11.656,2.0460536,71.67554,10.027693,2.648874
