,Male,Female
799,49.581375,50.41863
800,49.48918,50.51082
801,50.090073,49.909927
802,50.51365,49.486343
803,50.357582,49.642414
804,49.451027,50.54898
805,49.706192,50.293804
806,50.314884,49.68511
807,50.087303,49.912697
808,50.161636,49.83836
809,49.769276,50.230717
810,50.372654,49.627342
811,50.508465,49.491535
812,49.756924,50.24308
813,50.125122,49.874874
814,50.18922,49.810776
815,49.59252,50.407482
816,50.08548,49.91452
817,49.99515,50.004852
818,49.961273,50.03873
819,49.803715,50.196285
820,50.002598,49.997402
821,49.98703,50.01297
822,49.550453,50.44955
823,50.11928,49.880714
824,50.48096,49.519035
825,50.206356,49.79364
826,50.39776,49.602234
827,50.217575,49.78242
828,49.663376,50.336624
829,49.81577,50.18423
830,50.17773,49.822277
831,50.26455,49.735447
832,49.610634,50.389362
833,49.632496,50.367504
834,50.31096,49.689037
835,49.570633,50.429367
836,49.766575,50.233425
837,50.214462,49.785534
838,50.118847,49.88116
839,49.766544,50.23345
840,49.601685,50.39832
841,50.231846,49.768154
842,49.698368,50.30163
843,50.0453,49.95471
844,49.602093,50.397915
845,50.50155,49.498444
846,49.879757,50.120247
847,49.481483,50.51852
848,50.0122,49.9878
849,50.475853,49.524143
850,49.688026,50.311977
851,49.9066,50.0934
852,49.985466,50.014538
853,49.634033,50.365967
854,50.31851,49.681484
855,49.60374,50.396263
856,50.23449,49.76551
857,50.01031,49.989693
858,49.95593,50.04407
859,49.785023,50.214977
860,49.840733,50.159264
861,49.595165,50.404835
862,50.31286,49.68714
863,49.790924,50.209076
864,50.32431,49.675697
865,50.200016,49.799984
866,49.950615,50.04939
867,50.355103,49.644897
868,50.14695,49.85305
869,49.62582,50.374187
870,50.409775,49.59022
871,49.84197,50.15803
872,50.16769,49.83231
873,49.69218,50.307816
874,49.677174,50.32283
875,49.808315,50.19169
876,50.48241,49.517593
877,49.721313,50.278687
878,50.275032,49.724968
879,49.714256,50.285744
880,49.49885,50.50115
881,49.56647,50.43353
882,50.174267,49.825733
883,50.14686,49.85314
884,50.55982,49.44018
885,49.505207,50.494797
886,50.218613,49.78139
887,50.171566,49.828438
888,49.581707,50.418293
889,50.52055,49.47945
890,49.582687,50.417316
891,49.5695,50.4305
892,50.42665,49.57335
893,50.07338,49.926624
894,49.582306,50.417698
895,50.30435,49.69565
896,50.003498,49.996506
897,50.409264,49.59074
898,49.78925,50.21075
899,50.06843,49.931572
900,49.483482,50.516518
901,50.322426,49.67757
902,50.489418,49.51058
903,49.7196,50.2804
904,49.75984,50.240158
905,49.587837,50.412167
906,49.951565,50.048435
907,49.936016,50.063984
908,50.01087,49.98913
909,49.628017,50.37198
910,50.553406,49.446598
911,50.157402,49.842598
912,49.64487,50.35513
913,50.144142,49.85586
914,49.66643,50.333572
915,50.162975,49.83702
916,49.67562,50.32438
917,50.4861,49.5139
918,49.961872,50.038128
919,49.68227,50.31773
920,49.473232,50.526775
921,50.26618,49.73382
922,49.567516,50.43248
923,49.879704,50.1203
924,49.96444,50.035553
925,50.522667,49.477325
926,50.401505,49.598495
927,50.106262,49.89374
928,50.405174,49.594822
929,50.275993,49.724007
930,49.4987,50.501305
931,50.137432,49.86257
932,49.544914,50.455086
933,50.287598,49.712406
934,50.194424,49.80557
935,50.04732,49.952675
936,49.639217,50.360794
937,49.880417,50.119583
938,49.776615,50.223385
939,49.4466,50.5534
940,50.153385,49.846615
941,50.399937,49.60006
942,49.444763,50.55524
943,50.17755,49.82245
944,50.21649,49.783504
945,50.0645,49.9355
946,49.499992,50.50001
947,49.678932,50.32106
948,49.87403,50.12597
949,50.205315,49.79468
950,49.796745,50.20326
951,49.55187,50.44813
952,49.47686,50.52314
953,50.31557,49.684437
954,49.64551,50.35449
955,49.753696,50.246304
956,49.981945,50.018055
957,49.490356,50.509644
958,49.498146,50.501846
959,49.706413,50.293583
960,49.566917,50.433083
961,49.838387,50.161617
962,49.62329,50.376713
963,49.49187,50.50813
964,50.247646,49.75235
965,50.55256,49.447433
966,50.485535,49.514465
967,50.22887,49.771126
968,49.924843,50.075157
969,49.538364,50.46163
970,49.50421,50.495792
971,49.751583,50.24842
972,50.152905,49.8471
973,49.68442,50.315582
974,50.344147,49.655853
975,50.05771,49.942295
976,50.136536,49.86347
977,50.002907,49.997097
978,50.112595,49.88741
979,50.471695,49.528313
980,49.813427,50.18658
981,49.529755,50.470238
982,49.86347,50.136536
983,49.78694,50.213062
984,50.28785,49.71215
985,50.267464,49.73253
986,50.41163,49.588375
987,50.188057,49.81193
988,49.84298,50.15702
989,49.7695,50.230503
990,50.546066,49.453934
991,49.868767,50.131233
992,50.505096,49.4949
993,50.20719,49.79281
994,50.398018,49.601982
995,50.04282,49.957176
996,50.353752,49.646255
997,49.630295,50.369705
998,50.380314,49.61969
999,49.428993,50.571
1000,50.334244,49.665756
1001,49.85535,50.144653
1002,49.908714,50.09129
1003,49.715668,50.284325
1004,50.45822,49.54178
